_id,name,description,category,price,enrolled,status,imageUrl,courseUrl,createdAt,updatedAt
67a60bbd3d7d5bc58eb0bbb8,AI CV Optimization,AI CV Optimization,IcEazy,$50.00,,active,https://www.gavi.org/sites/default/files/about/global-health/sdgs-rec.png,https://www.tobamsgroupacademy.com/course?courseid=ai-optimized-cv-writing,2025-02-07T13:33:49.298Z,2025-02-17T14:13:43.491Z
67acba8445825261ef08846a,Computer Software Development,Important development course,Career Development,100,,status,https://www.gavi.org/sites/default/files/about/global-health/sdgs-rec.png,string,2025-02-12T15:13:08.557Z,2025-02-17T14:11:50.558Z
67b66ea75027c21607116425,Educational Development,Delibero distinctio iure quae accusamus adipisci.,Communication,638.19,83,Published,https://hospitable-privilege.net,https://fake-blossom.com,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116427,Game Design,Circumvenio peccatus adopto sophismata cunabula aureus depopulo deleniti tergiversatio.,Data Visualization,410.19,55,Published,https://confused-scarification.biz/,https://definite-hovercraft.biz/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116429,3D Design,Ustulo colligo adicio.,Market Research,850.87,31,Published,https://ultimate-gerbil.name/,https://unknown-deduction.info,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c2160711642f,Data Science,Corporis asporto utor delinquo cruciamentum antiquus quaerat avaritia.,Market Research,276.55,27,Published,https://pushy-haircut.biz/,https://beloved-boulevard.name/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116430,AI/ML Engineering,Tabernus ducimus admoneo tum adulatio aspernatur incidunt canonicus.,Agile Methodologies,549.75,0,Published,https://yellowish-reward.com/,https://disloyal-eternity.info/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116431,Sustainability Practices,Velum tactus vesper.,Strategic Planning,564.35,57,Published,https://glittering-lace.name,https://wasteful-numeracy.com/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116434,Interaction Design,Arca cui trans tabernus officia ocer vociferor ventosus acidus suppono.,SEO,827.49,61,Published,https://zany-language.name,https://golden-violin.info/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116435,Graphic Design,Ciminatio eaque amicitia contra deficio xiphias sapiente terreo.,Market Research,788.20,78,Published,https://smooth-marten.org,https://noteworthy-vibration.biz,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67a60b613d7d5bc58eb0bbb1,'Business Analysis,'Business Analysis Course,IcEazy,$80.00,,active,https://www.gavi.org/sites/default/files/about/global-health/sdgs-rec.png,https://www.tobamsgroupacademy.com/course?courseid=business-analysis,2025-02-07T13:32:17.886Z,2025-02-17T14:15:03.472Z
67b4671b12d17519439447a9,"Frontend, Backend and Software Engineering","This is a category for Frontend, Backend, Software Developers or Engineering working in the development",Development and Technology,180,,active,https://www.gavi.org/sites/default/files/about/global-health/sdgs-rec.png,https://www.tobamsgroupacademy.com/course?courseid=professional-development-and-continuous-learning,2025-02-18T10:55:23.095Z,2025-02-18T10:55:23.095Z
67b66ea75027c21607116426,Educational Development,Commodo adfectus laboriosam concedo adflicto.,SEO,257.00,46,Published,https://common-thigh.com,https://wee-airman.biz,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c2160711642e,UX Testing,Advenio cilicium coepi cras tergeo vulgo stella.,Data Visualization,695.95,20,Published,https://urban-scarification.org,https://ugly-nun.net/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116432,Content Production,Caecus cribro repellat aestivus bardus.,Strategic Planning,246.25,61,Published,https://disloyal-expansion.com,https://blond-testing.info/,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
67b66ea75027c21607116433,Marketing Strategy,Solio iusto delectus conventus cribro utilis.,Public Speaking,352.25,95,Published,https://golden-commercial.name/,https://authentic-provider.org,2025-02-19T23:52:07.219Z,2025-02-19T23:52:07.219Z
